id,dep_delayed_15min
0,0.02770582204304349
1,0.03664455609137585
2,0.02896521031401815
3,0.5048377204386125
4,0.24697808875254512
5,0.045669888134238716
6,0.04727590144187475
7,0.33008949662152837
8,0.20569029347629916
9,0.6364531777159429
10,0.2840036281329172
11,0.29569814288147495
12,0.15808630783228347
13,0.1453618467119795
14,0.09888710627115103
15,0.2871223341940669
16,0.09664714242166132
17,0.2934265897129773
18,0.593906890560269
19,0.012911129810930677
20,0.21808679628498187
21,0.10868248124788094
22,0.42227656017322046
23,0.22326551042303602
24,0.5062954015941602
25,0.44079597243617585
26,0.045943787055870135
27,0.031080292498902137
28,0.3400330034479034
29,0.22951479622226365
30,0.22053197064367694
31,0.5087211559837054
32,0.0667142187022229
33,0.2849614845510648
34,0.42766521343976543
35,0.32037857574528167
36,0.1912491271529871
37,0.33208403035187606
38,0.13575875274257773
39,0.3123861979609198
40,0.1964832495490599
41,0.10738725183720345
42,0.17504341286077021
43,0.2699294571178543
44,0.1893207115914745
45,0.36785707680513086
46,0.0007447312403263942
47,0.3741493056336414
48,0.45347784559327037
49,0.10045462048013551
50,0.5753980650673074
51,0.0835554074176158
52,0.18132430903968746
53,0.5747399973565266
54,0.1516245489324666
55,0.12528666631175084
56,0.230034182699749
57,0.35934605896208605
58,0.17257078126770278
59,0.34750545557706536
60,0.13694263387112202
61,0.09702537177624493
62,0.13875830910457068
63,0.258310126709207
64,0.44302097687561925
65,0.18050323833255727
66,0.027868722571760318
67,0.15562777112618323
68,0.35433413981223194
69,0.34947737152531344
70,0.0678946203527482
71,0.18310010859727316
72,0.42634754356176563
73,0.20217762751889903
74,0.84914845054001
75,0.23786786448751782
76,0.0858415854657433
77,0.0793514003348947
78,0.1506491008595588
79,0.24283597846227647
80,0.19306092585495185
81,0.2549899700807728
82,0.07162997623951196
83,0.23256467895795652
84,0.13829623015180367
85,0.04521169316481223
86,0.13909656241396354
87,0.3481816982820881
88,0.41719639584517515
89,0.29355547634234747
90,0.1218417152821648
91,0.10833065128762391
92,0.28058959353211915
93,0.18816238684013584
94,0.3291573074908391
95,0.10426128221812245
96,0.6307615231728485
97,0.1712353574177683
98,0.43066289540943775
99,0.5681619292624972
100,0.19011737280311386
101,0.2548802421255327
102,0.11338010912786932
103,0.25969743694849967
104,0.007100497832909853
105,0.14331506860165988
106,0.29867964238717654
107,0.06105590099552288
108,0.18000077339767745
109,0.2196320336307011
110,0.16708597044746704
111,0.11540076783042091
112,0.7353718008011269
113,0.06030022528318598
114,0.02438196824504829
115,0.15642823288858945
116,0.2311901190659255
117,0.4555240347856491
118,0.12307097455119274
119,0.37859929703497774
120,0.5290259865801062
121,0.21568884179579764
122,0.21643600193913945
123,0.05642648024404589
124,0.2462596083403678
125,0.05191999801035974
126,0.09170364980319191
127,0.1147684165227838
128,0.13920337862344476
129,0.4935796634223341
